Draw Date,Draw 1,Draw 2,Draw 3,Draw 4,Draw 5,MegaBall,Multiplier
8/30/2024,10,17,20,24,54,8,X4
8/27/2024,16,18,21,54,65,5,X2
8/23/2024,28,30,44,66,69,2,X3
8/20/2024,5,20,26,49,51,24,X4
8/16/2024,22,38,48,51,61,5,X3
8/13/2024,34,55,59,65,70,12,X4
8/9/2024,12,32,38,40,57,21,X2
8/6/2024,23,29,36,61,70,22,X4
8/2/2024,6,7,24,44,54,13,X4
7/30/2024,19,23,30,33,50,25,X2
7/26/2024,2,14,33,58,65,3,X3
7/23/2024,3,9,14,26,51,21,X4
7/19/2024,10,17,23,50,67,3,X3
7/16/2024,5,35,42,58,66,22,X2
7/12/2024,15,35,48,53,68,8,X3
7/9/2024,21,26,54,60,64,3,X3
7/5/2024,6,15,32,54,67,4,X3
7/2/2024,4,8,19,31,45,11,X4
6/28/2024,28,31,33,42,66,24,X3
6/25/2024,3,16,27,47,62,8,X4
6/21/2024,3,18,27,40,44,19,X4
6/18/2024,21,22,50,55,67,20,X2
6/14/2024,1,25,26,31,65,2,X3
6/11/2024,1,5,7,22,24,8,X4
6/7/2024,3,5,12,22,66,7,X4
6/4/2024,19,37,40,63,69,17,X3
5/31/2024,4,11,23,33,49,23,X4
5/28/2024,12,18,48,57,62,4,X5
5/24/2024,46,54,56,67,70,16,X3
5/21/2024,2,5,8,28,69,14,X2
